ticker,company,trailing_revenue_musd,trailing_ebit_musd,trailing_free_cash_flow_musd,disclosed_production_surface,primary_threat_path,incremental_cost_50bps_revenue_musd,incremental_cost_50bps_pct_ebit,incremental_cost_50bps_pct_free_cash_flow,revenue_bps_to_consume_10pct_ebit
TSLA,Tesla Inc.,103619.000000,4372.000000,5762.000000,"Paid FSD fleet, Robotaxi, Optimus, OTA vehicles, charging and energy systems on a common software control plane","Fleet-update, teleoperation, model or firmware compromise forces recall, suspends autonomy revenue and creates physical liability",518.095000,11.850297,8.991583,42.193034
CVNA,Carvana Co.,18266.000000,1717.000000,929.000000,Nearly 200k cars sold per quarter entirely online; loan origination and servicing on the same platform,Platform outage stops all selling (roughly $80m of revenue per day) and loan-data compromise adds financing liability,91.330000,5.319161,9.831001,93.999781
YUM,Yum! Brands Inc.,8060.000000,2493.000000,1679.000000,"61% digital mix ex-Pizza Hut (KFC 67%); Byte platform centralizes ordering, menus, pricing and loyalty across brands","Byte or loyalty compromise halts app, kiosk and delivery ordering across the franchise system during peak periods",40.300000,1.616526,2.400238,309.305211
COIN,Coinbase Global Inc.,7671.833000,2195.757000,2660.690000,Custodied customer crypto with operating hot wallets; Base settling the large majority of agentic stablecoin volume; x402 agent payments,"Key, bridge, exchange or agent-wallet compromise causes immediate, irreversible asset loss and customer make-whole expense",38.359165,1.746968,1.441700,286.210219
TTWO,Take-Two Interactive Software Inc.,6686.500000,-161.300000,337.500000,"84% of net bookings from recurrent consumer spending across GTA Online, NBA 2K and Zynga accounts and payments","Account takeover, payment fraud or an outage in the GTA VI launch window removes high-margin live-service revenue",33.432500,,9.905926,
RIVN,Rivian Automotive Inc.,5883.000000,-3533.000000,-3489.000000,"Software and services revenue of $515m in the quarter; VW joint venture, OTA updates, Autonomy+ and an AI assistant","Compromised update, autonomy stack or plant OT creates recall, grounding, partner-confidence and production loss",29.415000,,,
MSCI,MSCI Inc.,3055.440000,1655.141000,1526.641000,Indices and analytics embedded across the investment process; over $2.8tn of ETF assets linked to MSCI indices,Index-integrity or client-data compromise damages retention while a cyber-driven risk-off cuts asset-based fees,15.277200,0.923015,1.000707,541.702995
FLUT,Flutter Entertainment plc,17161.000000,-641.000000,1242.000000,"FanDuel real-money accounts, player deposit balances, and peak-event betting handle in regulated states",Outage or account-takeover wave during NFL or World Cup peaks cuts handle and invites license action at 4.3x leverage,85.805000,,6.908615,
MOH,Molina Healthcare Inc.,44522.000000,203.000000,270.000000,"$42bn of premium revenue and 5m members processed through electronic enrollment, claims and payment systems",Ransomware halts claims and payment while a PHI breach adds fines and litigation against a roughly 1.3% pre-tax margin,222.610000,109.660099,82.448148,4.559544
PODD,Insulet Corp.,3053.500000,515.800000,293.700000,Omnipod 5 smartphone-controlled insulin dosing; cloud Omnipod Discover and a 360-degree customer data platform,"Dosing manipulation or PHI compromise triggers FDA action, recall, litigation and lost new-patient starts",15.267500,2.959965,5.198332,168.920910
CSGP,CoStar Group Inc.,3555.600000,76.900000,227.000000,"Proprietary property, lender and lease databases (100k+ active loans, $1.2tn of debt) behind 93% renewal rates","Large-scale data exfiltration erodes the data moat, pricing power and renewal economics",17.778000,23.118336,7.831718,21.627855
ATO,Atmos Energy Corp.,4921.526000,1819.467000,-2020.303000,"Gas distribution and pipeline network run on SCADA telemetry, remote compression and pressure control across eight states",OT intrusion forces manual operation or shut-ins; response cost is expensed against a regulated return with no disclosed cyber cost tracker,24.607630,1.352464,,369.695700
WTRG,Essential Utilities Inc.,2568.695000,900.688000,-1327.222000,"Water, wastewater and gas operations on internet-reachable PLC/SCADA controls, plus an in-flight American Water merger integration",The July 2026 multi-state water-utility PLC attack wave hit exactly this control surface; remediation and hardening are expensed operating cost with recovery only at the next rate case,12.843475,1.425963,,350.640306
